10,11,1
46,331,1
47,48,1
74,249,1
74,789,1
76,251,1
80,280,1
80,813,1
107,933,1
117,118,1
143,145,1
167,180,1
172,173,1
199,221,1
208,209,1
209,210,1
227,268,1
229,230,1
233,238,1
252,254,1
260,264,1
290,291,1
355,356,1
387,393,1
387,410,1
389,397,1
389,467,1
391,392,1
393,487,1
394,429,1
397,467,1
398,457,1
398,459,1
400,463,1
401,493,1
404,405,1
408,409,1
409,449,1
413,495,1
420,421,1
420,424,1
421,424,1
422,423,1
424,473,1
426,427,1
429,436,1
432,433,1
433,486,1
438,485,1
439,442,1
439,443,1
440,441,1
441,442,1
443,454,1
443,500,1
449,451,1
453,454,1
454,500,1
455,456,1
455,457,1
456,457,1
456,468,1
457,459,1
458,474,1
464,465,1
475,496,1
476,502,1
495,496,1
519,536,1
520,521,1
520,527,1
521,523,1
522,533,1
526,542,1
528,529,1
529,532,1
531,532,1
532,539,1
533,534,1
535,536,1
548,550,1
549,596,1
551,552,1
606,670,1
673,674,1
677,697,1
683,684,1
683,685,1
684,685,1
693,720,1
708,713,1
708,727,1
708,734,1
713,737,1
727,734,1
734,737,1
753,755,1
756,779,1
789,807,1
792,804,1
793,794,1
815,990,1
882,951,1
892,980,1
913,982,1
920,994,1
921,933,1
930,932,1
933,943,1
